Marcas,Combustible,Año,Kms,Cv,Provincia,Precio
MERCEDES-BENZ Clase C 200 d Berlina,Diésel,2023,8.630 km,163 cv,Córdoba,53.605 €
MINI Countryman Cooper Aut.,Gasolina,2019,61.000 km,122 cv,Guipúzcoa,24.900 €
MERCEDES-BENZ Clase A 200 d,Diésel,2017,53.998 km,136 cv,Barcelona,24.900 €
OPEL Grandland X 1.2T S&S Design Line 130,Gasolina,2019,58.270 km,130 cv,Guipúzcoa,18.900 €
RENAULT Captur 1.5dCi Energy Zen 81kW,Diésel,2018,19.570 km,110 cv,Barcelona,18.070 €
MERCEDES-BENZ Clase A A-CLASS BERLINA CON PORTON 2.0 200 D DCT 150 5P,Diésel,2022,12.661 km,150 cv,Murcia,37.500 €
AUDI A3 SEDAN ADVANCED 30 TFSI  81(110) KW(CV) S TRONIC,Gasolina,2022,29.570 km,110 cv,Murcia,32.500 €
TOYOTA C-HR BERLINA CON PORTON 1.8 VVT-I HYBRID ADVANCE AUTO 122 5P,Híbrido,2022,50.117 km,122 cv,Murcia,26.300 €
AUDI A4 FAMILIAR 2.0 35 TDI MHEV S TRONIC ADVANCED AVANT 163 5P,Diésel,2022,16.819 km,163 cv,Murcia,41.900 €
KIA Sportage 2.0 CRDI VGT GT LINE AUTO 4WD 5P,Diésel,2017,61.855 km,185 cv,Valencia,26.900 €
BMW X2 sDrive 18d,Diésel,2018,119.300 km,150 cv,Madrid,23.900 €
BMW X7 M60i,Gasolina,2022,21.326 km,530 cv,Málaga,152.900 €
PEUGEOT 3008 N ALLURE 1.2 PURETECH 130CV,Gasolina,2021,35.973 km,130 cv,Madrid,27.500 €
VOLVO XC60 B4 Momentum Pro AWD Aut.,Diésel,2022,14.867 km,197 cv,Madrid,47.900 €
PEUGEOT 208 1.5 BlueHDi S&S Allure 100,Diésel,2022,12.651 km,100 cv,Madrid,20.490 €
PEUGEOT 3008 1.6 BlueHDi Allure EAT6 120,Diésel,2018,53.411 km,120 cv,Guipúzcoa,26.900 €
TESLA Model X Long Range AWD,Eléctrico,2019,63.400 km,525 cv,Madrid,63.400 €
SEAT Ateca 1.6TDI CR S&S Ecomotive Style,Diésel,2019,52.553 km,115 cv,Alicante,22.350 €
FIAT Tipo 1.5 Hybrid City Life DCT,Gasolina,2022,5.756 km,130 cv,Madrid,22.490 €
BMW X4 xDrive 20dA,Diésel,2019,46.388 km,190 cv,León,46.900 €
CITROEN C3 1.6BlueHDi S&S Shine 100,Diésel,2018,74.000 km,99 cv,Madrid,11.990 €
FORD Puma 1.0 EcoBoost MHEV ST-Line X 125,Gasolina,2021,21.300 km,125 cv,Albacete,23.900 €
HONDA CR-V 2.0 i-MMD Elegance Navi 4x2,Híbrido,2020,51.768 km,184 cv,Madrid,31.500 €
FIAT 500 1.2 Lounge,Gasolina,2017,55.200 km,69 cv,Las Palmas,13.995 €
TOYOTA Proace Verso MONOVOLUMEN 1.5D 90KW LWB SHUTTLE 9STR 120 5P 9 PLAZAS,Diésel,2018,68.009 km,120 cv,Murcia,28.900 €
MINI Mini Cabrio Cooper,Gasolina,2020,23.073 km,136 cv,Murcia,23.500 €
PEUGEOT 3008 1.2 PURETECH 96KW (130CV) ALLURE EAT6,Gasolina,2018,68.015 km,130 cv,Lugo,19.900 €
FORD C-Max 1.0 Ecoboost Auto-S&S Trend+ 125,Gasolina,2018,60.632 km,125 cv,Valencia,15.900 €
PEUGEOT 3008 SUV 1.2 S&S PureTech GT Line 130,Gasolina,2019,55.630 km,130 cv,Barcelona,22.485 €
AUDI A3 Sportback 30TDI S line,Diésel,2022,39.173 km,116 cv,Barcelona,30.900 €
BMW X2 sDrive 18dA,Diésel,2019,93.218 km,150 cv,León,29.900 €
NISSAN Qashqai 1.3 DIG-T mHEV 12V Tekna + 4x2 116kW,Gasolina,2022,1 km,158 cv,Alicante,37.850 €
MERCEDES-BENZ Clase A Mercedes-AMG 35 4MATIC+,Gasolina,2019,60.259 km,306 cv,Madrid,52.900 €
HYUNDAI Tucson 2.0CRDI Style 4x4 Aut. 184,Diésel,2017,23.066 km,184 cv,Zaragoza,26.900 €
BMW Serie 2 218i Active Tourer,Gasolina,2018,87.000 km,140 cv,Málaga,23.499 €
BMW Serie 2 218i Active Tourer,Gasolina,2018,87.000 km,140 cv,Málaga,23.499 €
LAMBORGHINI Urus 4.0 V8 Aut.,Gasolina,2023,6.700 km,650 cv,Madrid,369.900 €
PORSCHE Macan S Diesel Aut.,Diésel,2017,138.000 km,258 cv,Córdoba,48.000 €
LEXUS NX 300h F Sport Panorámico 4WD,Híbrido,2019,78.300 km,197 cv,Madrid,38.490 €
CITROEN C3 Aircross Puretech Feel 82,Gasolina,2019,12.466 km,82 cv,Barcelona,14.900 €
BMW Serie 2 216d Active Tourer,Diésel,2020,91.107 km,116 cv,León,21.900 €
VOLVO XC40 T3 Business Plus,Gasolina,2019,41.000 km,163 cv,La Rioja,33.500 €
VOLKSWAGEN Touran 2.0TDI CR BMT Sport DSG 110kW,Diésel,2017,56.050 km,150 cv,Lugo,31.900 €
BMW Serie 8 M850i Cabrio xDrive,Gasolina,2022,480 km,530 cv,Murcia,119.900 €
BMW X2 sDrive 18dA,Diésel,2019,145.900 km,150 cv,Madrid,21.900 €
"VOLVO XC60 NUEVO PLUS, B4 (DIESEL), DIeSEL, DARK",Diésel,2022,5 km,197 cv,Valencia,57.900 €
